Title(s),Notes/Reasons,Developer,Publisher
Made Man,"Originally released for the PlayStation 2 and Windows platforms across 2006 and 2007, the Xbox version never released commercially. The Xbox version was later leaked onto the internet in 2021 as part of the Project Deluge video game preservation efforts. [ 594 ]",SilverBack Studios,Mastertronic
Mafioso,"Strategy simulation game that was announced in November 2003 for PC and Xbox. [ 759 ] The developer planned a release in 2005. [ 760 ] The game would feature 16 missions and a bunch of side missions with a total gameplay of 30-50 hours. The player chooses one of three Mafia clans. (Yakusa, La Cosa Nostra, Redfellas) The goal is the be the boss of the clan and the territory. [ 761 ] The game would also feature cRPG elements. [ 762 ] [ 762 ] The studio went under in mid 2004 and the game was cancelled.",Teleplan Development,
MageWar,"Fantasy game, a prototype from November 2002 was found in 2014. [ 763 ]",,
Makai Tensen: Rune City,Japanese exclusive RPG that was in development between 2003 [ 764 ] and 2005. [ 765 ] Nothing more is known of the game. [ 766 ],,Celeste Blue
Mashed 2,,Supersonic Software,Empire Interactive
Master Slave,A Cinema RPG created by Satoshi Kuramochi (World of Final Fantasy). The game was planned as an Japanese exclusive and announced in spring 2001 for a fall 2002 release. [ 767 ] The game featured 6 characters (3 slaves and 3 masters). [ 768 ] The game was cancelled in October 2003.,,Takuyo
Max Bullion Billionaires Racing,Racing game that was in development  but later cancelled. [ 769 ],Bam Entertainment London,Bam Entertainment
Maxxis Ultimate ATV,"Extreme ATV stunt racing game with licensed of the tire company Maxxis, announced on 14. May 2003 for Q1 2004 with Xbox Live support. Players could choose between 25 real ATVs from different companies and could modify them. It was planned to include 20 different locations such as Easter Island, the Great Wall of China, Mount Fuji, the Pyramids of Egypt and Tahiti. [ 770 ] The game got prerelease cover art and got a preview review by GamePro US with a planned release date in September of 2004. [ 771 ] [ 772 ] The game was in development up till 2006. [ 773 ] During it's development it could be preordered as early as 2003 from the webshop of the publisher.",Maxxis Electronic Magic,Metro 3D
Medal of Honor: Airborne,"Originally announced as a cross-generational title that would have two versions: a full-fledged HD version on PlayStation 3 , Xbox 360 , and PC platforms, and a second, scaled back version developed for the less powerful hardware of the Wii , PlayStation 2 , and Xbox. The scaled back version was cancelled for all three platforms, Xbox included. [ 774 ] [ 775 ]",EA Los Angeles,Electronic Arts
Mech Arena: The First Match,"also known as Battle Arena III & Battle Arena: The First Match Mech game announced in September 2003 for Xbox and PC. It takes place in the 30th century. [ 776 ] It was planned to include 10 multiplayer maps, 18 single player missions and over 50 parts. [ 777 ] The website was shut down around 2012. [ 778 ]",Made By Kiddies,
Mechwarrior Prime,Also known as Mechwarrior 5 Mech game that was in production till 2007. Videos and concept art were published over the years. [ 779 ] [ 780 ],FASA Studios,
Mega Man X Collection,,,Capcom
Metal Arms 2,For a deep dive please read the article in the Metal Arms Wiki Sequel to Metal Arms: Glitch in the System . It was in early stages of development before the first game was out. The game was calcelled 3 months after the first game was released.,Swingin’ Ape Studios,Vivendi
Metallica: Damage Inc.,"Vehicle combat game announced in June 2003 for a 2005 release. Metallica produced one exclusive song for the game. A trailer for the game was published on their album ""St. Anger"" [ 781 ] In 2011 concept art was shown and in 2016 a prototype was disclovered and gameplay made public by PtoPOnline. [ 782 ]",Black Label Games / Climaxx,Vivendi
Metal Shell,"Arcade Tank combat game, that was announced in May 2003 fox PlayStation 2 and Xbox with a planned release date of November 2004. [ 783 ] The game would feature over 20 different tanks, online multiplayer and destructable maps. [ 784 ] The game was shown at E3 2003. [ 785 ] Screenshots [ 786 ] , Wallpapers [ 787 ] and a 2003 trailer were published. The trailer is today lost media. [ 788 ] In 2005 another E3 trailer was published and revieled that the game would become a PSP release with a releasedate of 2006. the website shut down in 2010. [ 789 ]",Tantrum Entertainment / Tantalus interactive,
Meteor Blade,Online action game announced in May 2003 for Xbox and PC. [ 790 ] The game was shown at E3 2003 and should include 5 diffrent modi. [ 791 ] The game released in late 2007 o PC. [ 792 ],Interserv Inc. / Incagold,
Michael Schumacher World Tour Kart 2004,"Go-Kart Racing Game with F1 legend Michael Schumacher license released in 2005 for PC.  An Xbox and PlayStation 2 version was planned but never released. [ 793 ] [ 794 ] The Xbox version got a rating by PEGI, a barcode and prerelease cover art.",Inverse Entertainment GmbH / 10tacle Studios,Atari SA
Micro Machines V4,An Xbox version was in development at some point. [ 795 ],Supersonic Software,Codemasters
Milo and the Rainbow Nasties,"Third person action adventure planned for PS2, PSP. Xbox, GameCube, and Gizmondo, announced in July 2004. [ 796 ] [ 797 ] The game was cancelled for all platforms beside Gizmondo, when the developer was bought by Gizmondo and that version when the Gizmondo failed. The game was handled as a ""Killer app"" for the console. [ 798 ] A Trailer of the Gizmondo version and the Intro was released to the public. [ 799 ] [ 800 ] A build of the game is in the hands of Even Hanley who published gameplay and the build in 2024. [ 801 ]",Warthog,
Miracle Shot,Japanese Action game. Nothing more is known about the game. [ 802 ] The game was in development between 2003 [ 803 ] and 2006. [ 804 ],Mediarium,Media Room
Mister Mosquito,,,
Mix TV Presents: Eminem,Puzzle Game about the Rapper Eminem. The player puzzles music videos of Eminem together announced in 2003. It was planned to release more games with/about Eminem. [ 156 ] The game and further Eminem projects were cancelled after Eminem's licensing agent broke the contract and negotiated with Rockstar Games. [ 805 ],Conspiracy Entertainment,Conspiracy Entertainment
Ms. Pacman: Maze Madness 2,"For a deep dive please read the Pac-Man Wiki article. Game planned for PlayStation 2, GameCube, Xbox, Nintendo DS, PSP, and PC that was in development around 2005. [ 806 ] TKO went out of buissnes in August 2005 and the game got cancelled.",TKO Software,
Momma Can I Mow the Lawn?,"A Prototype dated February 2004 was leaked in 2022. [ 807 ] The game was announced in July 2004. [ 808 ] The game was cancelled for all platforms beside Gizmondo, when the developer was bought by Gizmondo and that version when the Gizmondo failed.",Warthog,
Monster Island,"Game concept of a action stratagy game by Irrational Games made in 2001. The game was planned to release on Xbox, PlayStation 2, GameCube and PC. [ 809 ]",Irrational Games,
Moto XXX,"Motocross game announced in 2001 for Xbox, PlayStation 2, GameCube and PC. The game got cancelled when Darkblack went defunct in 2004. [ 810 ] [ 811 ]",Darkblack Ltd.,
Motorsiege: Warriors of Primetime,"Vehicle combat racing game, announced in 2002 for PlayStation 2 and Xbox with a planned release date in late 2002. [ 812 ] [ 813 ] The game released in 2003 on PlayStation 2.",Lightspeed Games,System 3 / Play It.
"Movies, The","Sims like game with Tycoon like elements with a movie setting, announced for PC, Xbox, PlayStation 2 and GameCube in 2002. [ 814 ] By mid 2004 the GameCube version was cancelled. [ 815 ] The game released in 2005 for PC.",Lionhead Studios,Activision
"Mummy, The","also known as: Hamunaptra: Ushinawareta Sabaku no Miyako Platformer, based on the Mummy animated series. First announced in 2002 for the GBA by Ubisoft. [ 816 ] In 2004 the rights went to Hip games, that announced a PC, PlayStation 2 and Xbox version pre-E3 2004. [ 817 ] The game released on PC in October 2004 and the PlayStation 2 version in March 2005, a few months before the publisher went bankrupt.",Asobo Studio,Hip Games
Mutant Chronicles Online,"This game is also known as M.C.W.Z., Warzone Online or Mutant Chronicles: Warzone Online RTS game, based on the Warzone tabletop game that was in development for Xbox and PC and announced in June 2000. [ 818 ] The game was planned to release in Spring 2003. [ 819 ] Despite the removal of the game as ""still in development"" in early 2003 from their website, a IGN Interview was published in fall of 2003. There they claim Target Games developed a version. [ 820 ] Screenshots and concept art were published. In 2019 Funcom wanted to revive the game as a shooter. [ 821 ]",Paradox Interactive,Excelsior Entertainment
Myst IV: Adventure Beyond the D’ni Ultraworld,"The Lost Media Wiki is searching for a copy . Not to be confused with the actual released Myst IV Followup to Myst 3, the game was in development between 1999 and 2001 with DreamForge. The game was finished to 20%. Gameplay was archived by YouTube user Przygodoskop in 2013. [ 822 ]",Presto Studios / DreamForge Intertainment,
Nam - Tour of Duty,"Ego-Shooter planned to release on Xbox, GameCube and PlayStation 2. The game recreates the 1968 Tet Offensive. The game was in development in 2003 [ 823 ] A Trailer for the game was released. [ 824 ] The game was cancelled by 2004. [ 825 ]",Atomic Planet,
Namco X Capcom,,,
Nerdscope,"In early 2001, Mobius (wow Rockstar Leeds) secured the rights to the Nerdscope series by Brian Lumley and worked on a Horror game set in teh late 70s/early 80s. [ 826 ] The game was cancelled do to the merge with Rockstar [ 827 ]",Mobius Entertainment,
Net XX,Action Game planned to release in 2003. Nothing more is known. [ 828 ],,Takuyo
Neverend,Fantasy RPG announced in April 2002 for PC and in 2003 for Xbox. [ 829 ] The game is described as a mix between Fable and Final Fantasy. [ 830 ] By 2005 Mayham found a publisher for the game. [ 831 ] Neverend released on PC in 2006 to negative critic. [ 832 ],Mayhem Studios,Dusk2Dawn Interactive
Neverland Saga,,"Idea Factory, XPEC Entertainment",Idea Factory
NFL Quarterback Club 2003,,,Acclaim
Nicktoons Unite,,,
Nightmare Creatures 3: Angel of Darkness,,Kalisto,Ubisoft
NovaDrome,,,
O.C.G,,Inverse Entertainment,
Objective Force: Commander,,,
Octane,,,
Oddballs,,,
Oddworld Fangus,Also known as Oddworld: The Brutal Ballad of Fangus Klot; for a deep dive please read the Oddworld Wiki Article,Oddworld Inhabitants,Majesco
Ōkami,,,
Orbz,,,
Orchid,,Argonaut Games,Namco
Outlaw Chopper,,Jarhead Games,Vivendi Games
Over The Top,,,
Ozzy's Black Skies,,,
Pac-Man World Rally,"A kart racing game featuring the Pac-Man franchise was released released for the GameCube , PlayStation 2 , PlayStation Portable , and Windows platforms in 2006, while the Xbox release was cancelled. The Xbox version was later leaked onto the internet in 2021 as part of the Project Deluge video game preservation efforts. [ 42 ] [ 43 ]",Smart Bomb Interactive,Namco Bandai Games
Pariah 2,,,
Party Animals,"This game is also known as SuperFarm Animal party game planned to release on PlayStation 2, PC and Xbox in February 2004. [ 833 ] The game released in Eurpe on PlayStation 2.",Asobo Studio,"Ignition (EU), Conspiracy (US)"
Party Carnival,,,
Payout Poker & Casino,also known as Playwize Poker and Casino,,Namco
PBA Bowling 2004,,,
Perfect Dark Zero,"Very early work was done on the game for the GameCube , but was cancelled when Microsoft bought Rare . Development shifted to Xbox, which shifted again to Xbox 360 by the time the game released in 2005. [ 834 ]",Rare,Microsoft
Piglet's Big Game,,Doki Denki Studio,Gotham Games
Piledriver,,Highwaystar,Microsoft Game Studios
Pillage,,Zed Two Limited,
Pipeline,,,
Pirates Legend of the Black Buccaneer,,WideScreen Games,10tacle Studios
Pirates of the Caribbean: At World's End,,,
Pirates of the Caribbean: The Legend of Jack Sparrow,,7 Studios,Bethesda Softworks
Plague of Darkness,,,Namco
"Polar Express, the",,,
Pool Paradise,also known as: Archer Maclean's Pool Paradise,Awesome Developments,Ignition Entertainment
Power Rangers Dino Thunder,,,
Power Ranger Legacy,,,
Powerslide 2: Slipstream,,Ratbag,
Prize Park,,Banpresto,
Project Alien,,Sammy Studios,
Project Carbondale,,Sega,Sega
Project Delta,,,
Project Eden,,,
Project Nomads,,Radon Labs GmbH,cdv Software
Project Sandman,,Beyond Games,
Project Snap,,,
Project Snowbilnd 2,,Crystal Dynamics,
Project Velocity,also known as Octane A prototype was leaked in 2016. [ 835 ],Visual Science,
Pterosaur: Dawn of Destruction,"Announced in 2002 for Xbox, GameCube and PlayStation 2, the player controls a flying dinosaur in the last days of the aera and has to fight fir his life. At E3 2003 a playable version was shown. [ 836 ]",Atomic Planet,
Pumpkin Man,,Red-Purple Game Technology,
Putt Nutz,,Black Mountain Games,
Quest,,Rare,
RacerX,A Prototype leaked in 2017. [ 837 ],Boss Game Studios,Acclaim
Raiden Fighters Evolution,,,New World System
Rally Trophy,,,
Rampage: Total Destruction,"Arcade game released in 2006 for GameCube, PlayStation 2 and Wii. A playable Xbox build was discovered in December 2024. [ 107 ]",Pipeworks Software / Fireline Studios,Midway
Raven and Rex,,Pipeworks Software,
Rayman Raving Rabbids,,,
RE,"Racing Game that appears on multiple ""upcoming releases"" lists around 2003 and might be published by Infogrames. [ 734 ] [ 838 ] The game was pat of their E3 2002 lineup. [ 839 ]",,Infogrames
"Rebel Planet: Chapter One: Orion, The",,Rebel Planet Creations,
Red Ace Squadron,WW1 flight shooter released for PC in February 2002. An Xbox version was planned but ultimately cancelled. [ 840 ],Small Rockets,
"Red Star, The","A video game adaption of The Red Star graphic novel , versions for both the Xbox and PlayStation 2 were announced, but only the PlayStation 2 version released as scheduled in 2007. A later PlayStation Portable port released in 2010, but the Xbox version remained unreleased commercially. The Xbox version was leaked as early as 2005. [ 841 ]",Acclaim Studios Austin,XS Games
Raze the Roof,,,
Ready 2 Rumble Boxing: Round 2,,,
Rebellious Bullet,A prototype was leaked in 2019. [ 842 ],,
Relics: The Absolute Spirit,,Bothtec,Bothtec
Remission,A Prototype was leaked in 2018. [ 843 ],,
Republic: The Revolution,,,
Reprisal,,Power Infused Production,
Resonance,,Neocell Factory,
Re-Volt Live,,,
Ricochet: Lost Worlds,,,
Ricochet Rick,,,Titus
Risk: Global Domination,,,"Atari, Inc."
Roman Bloodsport,,Dynamic Animation Systems,
Roman Race 6004 AD,,,
Rocket Power: Zero Gravity Zone,,,
Roland Garros 2003 French Open,also known as Next Generation Tennis 2003,Carapace,Wanadoo
Roll Call,First planned as a sequel to SWAT called SWAT 2: Global Strike Team. The game was planned to release in 2006 for Xbox and PlayStation 2 and got later reworked into Urban Chaos: Riot Response by Rocksteady Studios. [ 844 ] Three prototypes were found and in October 2021 a Qualitative Game Evaluation was made public. [ 845 ] [ 846 ] [ 847 ] [ 848 ],Argonaut,SCi
RollerCoaster Tycoon 2,,,Capcom
"Roots, The",,,
Rubis,,Ubisoft Annecy,Ubisoft
Rugrats: Royal Ransom,,,
Runebrid,"Simulation RPG by Kenji Orimo, the creator of the Mega Drive game Shining Force. The game was planned to release in 2002. [ 849 ] The game got cancelled in October 2003. [ 850 ]",Max Entertainment,Takuyo
Runebird 2,,,Coolnet Entertainment
Rush Club,,Wide Games,
Sabotage 1943,"First announced in 2003 as Sabotage 1943 and later just Sabotage for the PlayStation 2 , original Xbox , and PC platforms, the game went through years of development issues and publisher and licensing changes until it was renamed Velvet Assassin and released only on the Xbox 360 and PC by publisher SouthPeak Games . [ 851 ] [ 852 ] [ 853 ]",Replay Studios,
Sabreman Stampede,,Rare,
Safari Joe,,Titus,Titus Software
Safecracker,,,DreamCatcher Games
Sahara,,TKO Software,
Saints Row,,,
Salt Lake 2002,,,
Sam & Max: Freelance Police,,,
Samurai Jack: The Shadow of Aku,"A video game adaption of the Samurai Jack animated series was announced for release in 2004 on Xbox, PlayStation 2 , and GameCube . Despite the Xbox version being far enough in development to appear on the Xbox 360 backwards compatibility list in 2005, it was the only version not to release. [ 605 ] [ 854 ]",Adrenium Games,Sega
Sandlot Basketball,,,
Sandlot Football,,,
Sandlot Hockey,,,
Savage Skies,,,
Savage Safari Hunt,,Coresoft,Crave
"Sacred Rings, the",,,DreamCatcher Games
Schwarzenberg,,Radon Labs,
Scooty Racers,,Trecision,Rapallo
Senjo no Demae Mochi,,Microsoft Games Studio Japan,Microsoft
Seraphim,,,
Serengeti,,Masa Group,
Sgt. Cruise,,,Titus
Shadow of the Sun,,,
Shade: Wrath of Angels,also known as Nefandus,Black Element,Cenega Publishing
Sharpnel,,,
Shaun Palmer's Pro Snowboarder 2,"A sequel to Shaun Palmer's Pro Snowboarder (2001) was announced for the PlayStation 2 , GameCube, Game Boy Advance , and Xbox in 2002, but was cancelled on all platforms the following year due to publisher Activision 's poor financial performance at the time. [ 855 ] [ 856 ] [ 857 ] [ 858 ]",Treyarch,Activision
Shayde: Monsters vs. Humans,,,Metro3D
"Shield, The",,,
Shining Lore,"MMORPG with crossplay function planned for PC, Xbox & PlayStation 2. It was shown at E3 2002 and should host a up to 10 player party. [ 859 ] It seems like that the game had a closed or open beta in Japan and Korea. The Japanese website shut down in mid 2003 [ 860 ] and the Korean website was shut down in the end of 2003 [ 861 ]",,Phantagram
Shin Megami Tensei Nine (Network Pack),Xbox Live Version of the released game. Altus cancelled the version for Xbox do to low sales of the original version. [ 862 ] It was worked into Shin Megami Tensei: Imagine.,"Altus, NexTech",Altus
Shoot to Kill: Colombia Crackdown,,,
Shrek Smash n' Crash Racing,,Torus Games,Activision
Shrek the Third,,,
"Simpsons Game, The",,,Electronic Arts
Slipshod,,Electronic Arts,Electronic Arts
Sidhe,,Kalisto Entertainment,
Silent Space,,Crytek,
Simpsons,3D plattformer prototype that was found in 2019. [ 863 ],,EA
Simpson Kart Racer,"A Simpson Kart Racer was in development between 2003 and 2004 codenamed ""Pupy"". Two prototypes were found from 2020 onwards. [ 864 ]",Papyrus Design Group,
Sitting Ducks,,LSP,LSP
Skate or Die,,Criterion Games,
Skratch: a Magical Tale,,,
Slipshod,,,
Slugger!,"Baseball game, that was planned to release beside Real World Golf and using the same sensor. The game was announced in December 2005 [ 865 ] and was advertised on the Real World Golf Box. [ 866 ]",FarSight,MadCatz
Smash out!,Unreleased Xbox Live Arcade game that was in development up to 2007. [ 867 ],Team 3,
Smoke And Mirrors Shell,A prototype was found in 2024. [ 868 ],Hokus Pokus,
Snake Plissken Chronicles,also know as Snake Plissken’s Escape,Namco Hometek,Namco
Sniper: Path of Vengeance,,Mirage Interactive,Xicat Interactive
"SnoCross 2 Featuring ""Air"" Blair Morgan",,Sensory Sweep,Crave
Snow,,Frog City Software,2K Games
Sonic Extreme,"A skateboarding game in the vein of Tony Hawk's Pro Skater for the Sonic the Hedgehog franchise by Vision Scape Interactive after they finished their support work for Sonic Heroes (2003). A demo was created to pitch to Sega ; while Yuji Naka reportedly supported it, Sega rejected the pitch, instead creating a hoverboard racing game Sonic Riders (2006) internally. Extreme had not been publicly known about until a playable version of the pitch demo leaked onto the internet in 2012. [ 869 ]",Vision Scape Interactive,
Sonic Gems Collection,,Sega,Sega
South Park,"A open world licensed game, that was unannounced. The game is similar to the Simpsons Hit & Run and features also Multiplayer modes. In 2014 YouTube user Wafflefoot Games found a Xbox development kit with a build. [ 870 ] It was also in development for the PlayStation 2. The game was cancelled in an Alpha phase. [ 871 ]",Buzz Monkey Software,
Spider-Man 3,,,
Spider-Man Classic,"The game was announced in January 2005 for Xbox, PlayStation 2 and GameCube for a 2006 release. The game would not be in association with a movie. The player controls a ""traditional Spider-Man"" . Spider-Man had to assemble his web shooter. Nothing more is known. [ 872 ]",,Activision
Space Quest,,Escape Factory,Sierra Entertainment
Specwarrior,,Pandemic Studios,
SpongeBob SquarePants: Creature from the Krusty Krab,,Blitz Games,THQ
SpongeBob SquarePants: Revenge of the Flying Dutchman,,Big Sky Interactive,THQ
Spooks,,Gamezlab,BBC Multimedia
Spitit Under Control,,,
Spyro: Enter the Dragonfly,,Equinoxe Digital Entertainment,Universal Interactive
Squad Assault,,Freedom LLC,DAS Entertainment
Squad Tactics 2005,,,
Stalingrad,,4X Studios,
StarCraft: Ghost,"Announced in 2002 for the Xbox, GameCube , and PlayStation 2 , the game experienced a lengthy and troubled development cycle. It was cancelled across all platforms across late 2005 and 2006. While never officially released, some content from early builds of the game leaked onto the internet in 2020. [ 873 ] [ 874 ]",Blizzard Entertainment,
Stargate SG-1: The Alliance,,Perception PTY,Namco
Starship Troopers,,,
Starsky & Hutch 2,,Mind’s Eye,Empire Interactive
Star Wars Galaxies,,Verant,LucasArts
Star Wars: Dark Squadron,A 2004 Prototype was leaked in 2025.,,
Star Wars: Rogue Squadron compilation,"A compilation of all three Rogue Squadron games — Star Wars: Rogue Squadron (1998), Star Wars Rogue Squadron II: Rogue Leader (2001), and Star Wars Rogue Squadron III: Rebel Strike (2003) was in development by Factor 5 , but cancelled by publisher LucasArts . Factor 5 tried to salvage their work by later attempting to release the trilogy on the Wii , but this was also later cancelled due to complications created from the 2008 financial crisis . [ 875 ] [ 876 ]",Factor 5,LucasArts
Star Wars Fighting Game,,Studio Gigante,
Sternenschiff Catan,,Rockazonga Games,
Stolen 2,"During development of Stolen, the team behind it worked on a sequel, planned to release on Xbox and PlayStation 2. [ 877 ] The game never materialized do to the shut down of the studio in March 2005. [ 277 ]",Blue 52,
Stomped Wakeboarding,,Salt Lake Games Studio,
State of Emergency 2,,VIS Entertainment,
StepMania,,,
Storm Riders,,Phoenix Games Studios (Malaysia),
Strategic Action,,,Victor
Street Hoops 2,,,Activision
Stretch Panic,,,
Strident: The Shadow Front,,Phantagram,Phantagram
Stung!,,Prey Digital,Prey Digital
Stunt Car Racer Pro,"Racing game planned to release on Xbox, PlayStation 2 and PC. Cancelled do to not finding a publisher. [ 878 ]",Simergy / Lost Toys,
Style Laboratory,,Watermarks Ltd,
Sub Rebellion,,,
Super Farm,,Asobo Studio,Ignition Entertainment
Surf's Up,,,
Suvivor,"A game based on real world diasters, like the 9/11 terror attacks or storm Andrew. It was planed to release in 2005. German Magazine GamePro did not like the idea of the game at all, recommended it only to ""people who drive slowly past accidents on the highway to gawk"". [ 879 ]",,
Sword of Dracula,,Critical Mass Interactive,
Symbiosis,,,
Taxi Driver,,Papaya Studio,Majesco
Team S.A.S.,,Rage Software,Sierra Entertainment
Tech Deck: Bare Knuckle Grind,A Prototype was found in 2011 and released in 2016. [ 880 ],,
Technomancer – A Calcaphon Adventure,A prototype was leaked in 2019. [ 881 ],Qube Software,
"Thing 2, the",,,
ThinkTanks,,,
Thunderstrike: Operation Phoenix,,,
Tidejackers,,Computer Artworks Ltd / Sales Curve Interactive,
Tiltronica,,Vision Scape Interactive,
Time Crisis Adventure,,,
TimeShift,,,
Time Traveler,,,
Times of Trouble,,,
Title Defense,,,
Tom Clancy's Rainbow Six Vegas,,Ubisoft Montreal,Ubisoft
Toon Army,,Brat Designs,
Top Angler,,,Xicat Interactive
Top Gun: Combat Zones 2,,Digital Integration,Titus
Torrente 3: El Protector,,,
Tornado Alley,,Atomic Planet,
Torque: Savage Roads,,Sproing,JoWooD Entertainment AG
Toxic Bunny 2,,,
TrailBlazer,Racing game that was in development up till 2007 for the original Xbox Live Arcade . A prototype surfaced in 2016. [ 882 ],Team 3,
TransWorld Skateboarding,,Barking Dog,"Atari, Inc."
Tremors: The Game,"Originally announced for the GameCube, PlayStation 2, Xbox, and Windows in 2002, the game was quietly cancelled later that year following the purchase of Rock Solid Studios by Starbreeze Studios . [ 883 ] [ 884 ]",Rock Solid Studios,Conspiracy Entertainment
Trinity: The Shatter Effect,"Announced just prior to, and later present at E3 2003 as a first person shooter with "" bullet time "" effects found in games such as Max Payne . The title was one of a number of games that were cancelled in late 2003 in response to publisher Activision poor financial performance that year. [ 885 ] [ 856 ]",Gray Matter Studios,Activision
Tron 3.0,,Climax,
Trophy Bass,,,
True Fantasy Live Online,"An MMORPG announced in 2002, it was planned to simulate life in a fantasy universe via a variety of combat and non-combat classes. [ 886 ] Despite being almost complete, the game was cancelled in 2004 due to the Xbox's failure to make inroads with Japanese audiences, leading Microsoft to deem the game not commercially viable. [ 887 ]",Level-5,Microsoft Game Studios
Turf Wars,Beat em up that was in development in 2004. a prototype leaked in 2020. [ 888 ],,
Twilight of Lareleth,,Spinning Reality,
Twin Caliber,,Rage Software,Rage Software
Ty the Tasmanian Tiger 4: GUNYIP!,,Krome Studios,
Tyco R/C,"While the Xbox has to be released, Mattel announced in June 2000 a Tyco R/C racing game for the console. With different vehicles of the Tyco RC brand, up to four players could race on different tracks in an arcade style game. It was also planned to have a battle arena mode with changing environment arenas. The game was planned to release in Fall of 2001. [ 889 ] Two screenshots were published. [ 890 ]",Mattel Interactive,Mattel Interactive
UFO: Aftershock,Real time turn based tactics strategy game. An Xbox port was alegedly planned but never released. [ 891 ],Altar Interactive,Cenega Publishing
Ultimate Spider-Man 2,"Followup game of Ultimate Spider-Man . It was planned to be released on Xbox, PlayStation 2 and GameCube. [ 892 ] The game was planned to set in Winter. A prototype was made and shipped to higher ups with poorly mapped textures. It was planned to play as the green Goblin. Only one Concept art pictures survived and was made public in 2021. [ 893 ] The game was cancelled because Activision didn't thought it would sell well. [ 894 ]",Treyarch,Activision
Underground,Open World Action game planned for Xbox and PlayStation 2. Underground was in development fro 1 year. The game got cancelled do to the release of GTA 3 and high expectations set by THQ. In 2011 Gameinformer did make a documentation of the studio and published gameplay/concept art. [ 895 ],Volition,THQ
Underworld: The Eternal War,Top-down shooter movie tie-in game released on PlayStation 2 exclusively in Europe. It was announced in 2003 for Xbox and PC for a release at 19. November 2003 (the day the movie premiered in the US) [ 896 ] Both announced versions were cancelled as late as May 2004.,Lucky Chicken Games,Eidos Interactive / Play It!
"Unholy, The","A First person horror action game, originally announced for PC in 1997, created and designed by Ken Deel. The games development turned to Xbox in 2000. [ 897 ] In January 2000 the developer searched for staff that could work on the game [ 898 ] It was announced in December 2000 for Xbox. [ 899 ] In the game players would search for traces of demons or explore the ruins of ancient Egypt. [ 900 ] Ports for PC and PlayStation 2 were also planned. [ 901 ] The games production was halted in October 2004 in favor of a movie project called ""Out of Darkness"". [ 902 ]",OtherWorlds InterActive,
"Unseen, The","Announced in 2000 under the name WarCaster and renamed later in 2001. [ 903 ] [ 904 ] The game features Mora, a student with magic powers, battling against the undead. It was planned to be released in July 2002. [ 905 ] It was shown in early catalogs that were bundled with games, and a trailer was shown at E3 2002. [ 906 ] [ 907 ]",Tremor Entertainment,Microsoft
Unnamed FPS,"FPS without a name planned to release on Xbox, PlayStation 2 and GameCube. Gameplay and assets were contributed to Unseen64 in 2009. [ 908 ] A prototype was later leaked.",Beyond Games,
Unamed Romance Action Game,An unnamed Romance Action Game was announced in 2001. [ 909 ],Takuyo,
US Open 2003,Tennis simulation announced in 2003. [ 910 ] The game was so far in development that the ESRB could rate the game E.  The game even received coverart. [ 911 ] 2021 a prototype was published.,,DreamCatcher Interactive
"Vats, The","Announced in 2002 as a large scale third person action/strategy game powered by developer Beenox 's proprietary ""Goliath"" game engine . The game's commercial release was cancelled, but an early build of the Xbox version was leaked in 2021 as part of the Project Deluge video game preservation efforts. [ 42 ] [ 912 ] [ 594 ] [ 43 ]",Beenox,
Vecotrman,Platformer from 2002 that was found on a development Kit in 2025. [ 913 ],,
VIP,Licensed vidoegame based on the show V.I.P. starring Pamela Anderson. In February 2000 Ubisoft announced to got the videogame rights. [ 914 ] The game was originally announced for Dreamcast to release in November 2000. [ 915 ] In May 2000 the Xbox version was announced. [ 916 ] In June 2002 the development was put on hold indefinitely. [ 917 ] The PlayStation 2 version was released in August 2002.,Ubisoft Shanghai/  Kalisto,Ubisoft
Virtua Cop 3,"Lightgun shooter of the popular Virtua Cop series. The arcade version runs on the SEGA CHIHIRO. It is based on the Original Xbox hardware. [ 918 ] Sega cancelled the Virtua Cop 3 port for being ""economically unfeasible"" do to the fact, that a lightgun for Xbox had to be developed and produced too. At the time no lightgun games were published, so no lightgun were developped for the console. [ 919 ] The Chihiro version is playable on modded Xbox consoles with lightgun support. [ 920 ] [ 921 ]",Sega AM2,Sega
Vultures,Gladiator  Hack & slash game announced at E3 2002. [ 922 ] Following the year trailers and gameplay was shown to the public. [ 923 ] [ 924 ],GRIN,cdv Software
Wallbangers,"Arcade Sports game announced for Xbox, PlayStation 2, Nintendo DS and PlayStation Portable in late 2004/early 2005. The game could not find a publisher and got cancelled as late as 2009. [ 925 ] [ 926 ]","Zetha gameZ, PAM Development",
Wangan Midnight Maximum Tune,Japanese arcade racing game. The arcade Hardware of the game SEGA CHIHIRO is based on the Original Xbox and some games running on this hardware can be emulated on modded consoles. [ 918 ] A port for the Xbox was rumored at the time. [ 927 ],Genki,Sega/Namco
War Devil,"also known as WarDevil: Enigma , WarDevil: Unleash the Beast Within or Project Kane",Ignition London,UTV Ignition Entertainment
War Dogs,"Game based on the Full Spectrum Command software planned to release on PC, Xbox, PlayStation 2 and GameCube. [ 928 ] The player could control of up to 30 soldiers and had access to tactical categories such as Suppression, Close Air Support, and Artillery. Both single and multiplayer was planed. [ 929 ] Gamespy showed screenshots of the PC version. [ 930 ] [ 931 ] The PC version was cancelled as late as 2007. [ 932 ]",Quicksilver Software,
